ID	noGenes	noSamples	Species	Tissues	GO.BP.ID	GO.BP.p	GO.BP.adj.p	GO.CC.ID	GO.CC.p	GO.CC.adj.p	GO.MF.ID	GO.MF.p	GO.MF.adj.p	KEGG.ID	KEGG.p	KEGG.adj.p	CHR	CHR.p	CHR.adj.p	Genes	Samples
11	21	4	mdo;oan	ht	GO:0060363	0,003848766130858	0,108052790202462	GO:0030016	0,000445953699753	0,009509571426612	GO:0019239	0,000826075455703	0,032429635593425	3040	0,007094415518941	0,134993688182303	20	0,022435903799307	0,783536804271828	ENSG00000130347;ENSG00000132825;ENSG00000119913;ENSG00000157766;ENSG00000116748;ENSG00000130700;ENSG00000100410;ENSG00000124091;ENSG00000021776;ENSG00000186628;ENSG00000123700;ENSG00000183386;ENSG00000075388;ENSG00000120729;ENSG00000198812;ENSG00000130957;ENSG00000102174;ENSG00000101892;ENSG00000213619;ENSG00000111732;ENSG00000075415	mdo_ht_m_ca1;mdo_ht_f_ca1;oan_ht_m_ca1;oan_ht_f_ca1
12	43	10	mdo	br;cb;ht;kd;lv	GO:0006506	0,000103306180539	0,008022960970411	GO:0042765	0,000192771130589	0,004817976015871	GO:0003923	0,000116665699362	0,007457305576558	5012	2,53E-05	0,002216212999415	MT	8,51E-06	0,005845189975236	ENSG00000063761;ENSG00000179630;ENSG00000170634;ENSG00000144647;ENSG00000166558;ENSG00000172728;ENSG00000142892;ENSG00000022277;ENSG00000111785;ENSG00000110497;ENSG00000065802;ENSG00000197429;ENSG00000225830;ENSG00000198727;ENSG00000196408;ENSG00000164168;ENSG00000113141;ENSG00000061936;ENSG00000182447;ENSG00000082175;ENSG00000132388;ENSG00000072133;ENSG00000151465;ENSG00000196290;ENSG00000065548;ENSG00000132773;ENSG00000108474;ENSG00000174442;ENSG00000037474;ENSG00000243943;ENSG00000102921;ENSG00000111665;ENSG00000162384;ENSG00000183060;ENSG00000058668;ENSG00000151500;ENSG00000198763;ENSG00000164576;ENSG00000151353;ENSG00000087111;ENSG00000148358;ENSG00000189046;ENSG00000198804	mdo_br_m_ca1;mdo_br_f_ca1;mdo_cb_m_ca1;mdo_cb_f_ca1;mdo_ht_m_ca1;mdo_ht_f_ca1;mdo_kd_m_ca1;mdo_kd_f_ca1;mdo_lv_m_ca1;mdo_lv_f_ca1
13	17	5	ppa;ggo;ppy;mml	lv	GO:0006955	1,28E-05	0,001524306019176	GO:0000788	0,003051881993896	0,043227033880663	GO:0004896	9,03E-05	0,006110129701512	4640	0,00019893389421	0,011573324875704	21	0,017071204773361	0,720968356933215	ENSG00000102967;ENSG00000021852;ENSG00000168685;ENSG00000137265;ENSG00000147689;ENSG00000155307;ENSG00000171557;ENSG00000115607;ENSG00000115590;ENSG00000182885;ENSG00000113263;ENSG00000159261;ENSG00000125910;ENSG00000146678;ENSG00000134363;ENSG00000119535;ENSG00000169903	ppa_lv_f_ca1;ggo_lv_m_ca1;ggo_lv_f_ca1;ppy_lv_f_ca1;mml_lv_f_ca1
14	31	8	hsa;ptr;ppa;ggo;ppy	kd	GO:0032501	5,90E-05	0,005164143679707	GO:0016324	0,004810282712472	0,060709851752864	GO:0043565	0,000160238291394	0,009482182086172	4960	0,007429039506107	0,138219612801299	11	0,027150123535651	0,827727262644387	ENSG00000128342;ENSG00000141401;ENSG00000116218;ENSG00000137673;ENSG00000166415;ENSG00000176387;ENSG00000153246;ENSG00000107485;ENSG00000148942;ENSG00000014257;ENSG00000147606;ENSG00000106128;ENSG00000115602;ENSG00000197943;ENSG00000155066;ENSG00000140519;ENSG00000120087;ENSG00000113946;ENSG00000152953;ENSG00000137251;ENSG00000153807;ENSG00000043039;ENSG00000074410;ENSG00000151704;ENSG00000168269;ENSG00000135374;ENSG00000170166;ENSG00000075290;ENSG00000106541;ENSG00000164251;ENSG00000115112	hsa_kd_m2_ca1;ptr_kd_m_ca1;ppa_kd_m_ca1;ppa_kd_f_ca1;ggo_kd_m_ca1;ggo_kd_f_ca1;ppy_kd_m_ca1;ppy_kd_f_ca1
15	13	4	mmu;mdo	ts	GO:0000012	0,004523346064119	0,118979240298031	GO:0005694	0,00383914431028	0,051578532728235	GO:0017069	0,001906375767846	0,057764780369053	NA	NA	NA	19	0,027347833197426	0,829809957199014	ENSG00000137074;ENSG00000124789;ENSG00000123473;ENSG00000162843;ENSG00000114742;ENSG00000158816;ENSG00000178795;ENSG00000185198;ENSG00000082516;ENSG00000122882;ENSG00000034063;ENSG00000170264;ENSG00000054796	mmu_ts_m1_ca1;mmu_ts_m2_ca1;mdo_ts_m2_ca1;mdo_ts_m1_ca1
16	12	7	ppa;ggo;ppy;mml	lv	GO:0009611	8,66E-05	0,006975561942803	GO:0005615	0,001112505429995	0,01974367530256	GO:0019838	0,000188627187606	0,010650820714633	4610	0,004088068854437	0,095189719341546	21	0,134559022634172	0,999927259622818	ENSG00000100385;ENSG00000102967;ENSG00000021852;ENSG00000147689;ENSG00000171557;ENSG00000115607;ENSG00000115590;ENSG00000159261;ENSG00000128802;ENSG00000146678;ENSG00000134363;ENSG00000169903	ppa_lv_f_ca1;ggo_lv_m_ca1;ggo_lv_f_ca1;ppy_lv_m_ca1;ppy_lv_f_ca1;mml_lv_m_ca1;mml_lv_f_ca1
17	26	3	mmu	kd	GO:0006493	0,001380923635908	0,055425062552053	GO:0005615	0,00012307233271	0,00331223615832	GO:0004222	0,000379953428034	0,01802080753689	531	0,012620045532458	0,189487646624381	13	0,021104525842942	0,772416300043691	ENSG00000213965;ENSG00000182271;ENSG00000170044;ENSG00000091181;ENSG00000118454;ENSG00000187210;ENSG00000145779;ENSG00000036565;ENSG00000068650;ENSG00000180245;ENSG00000102837;ENSG00000138798;ENSG00000123500;ENSG00000113273;ENSG00000137745;ENSG00000198759;ENSG00000141434;ENSG00000112818;ENSG00000125255;ENSG00000167767;ENSG00000086991;ENSG00000136250;ENSG00000162813;ENSG00000118017;ENSG00000100373;ENSG00000184897	mmu_kd_m1_ca1;mmu_kd_m2_ca1;mmu_kd_f_ca1
18	15	7	mmu;mdo;oan	ts	GO:0007126	0,000128638498996	0,009513213559157	GO:0005694	0,005005253201623	0,062468082695241	GO:0003690	0,001277500140871	0,043722176999155	4114	0,046505194543309	0,363592074187263	1	0,058474636776681	0,975045017952667	ENSG00000137074;ENSG00000131951;ENSG00000162843;ENSG00000077935;ENSG00000178795;ENSG00000138039;ENSG00000136931;ENSG00000087916;ENSG00000165383;ENSG00000118193;ENSG00000198912;ENSG00000185480;ENSG00000094975;ENSG00000146857;ENSG00000054796	mmu_ts_m1_ca1;mmu_ts_m2_ca1;mdo_ts_m2_ca1;mdo_ts_m1_ca1;oan_ts_m3_ca1;oan_ts_m1_ca1;oan_ts_m2_ca1
19	24	3	mmu	lv	GO:0006054	0,003848766130858	0,108052790202462	GO:0046691	0,00467955239064	0,059429134252504	GO:0003912	0,004660029654734	0,099471725148592	3450	0,014409858138743	0,203231781678776	16	0,018103630721485	0,74190952459753	ENSG00000184860;ENSG00000141977;ENSG00000145384;ENSG00000204033;ENSG00000143653;ENSG00000115825;ENSG00000179520;ENSG00000107447;ENSG00000154305;ENSG00000117528;ENSG00000137944;ENSG00000122299;ENSG00000188822;ENSG00000140391;ENSG00000129048;ENSG00000103375;ENSG00000139160;ENSG00000141579;ENSG00000159921;ENSG00000065328;ENSG00000173846;ENSG00000113594;ENSG00000135185;ENSG00000125124	mmu_lv_m2_ca1;mmu_lv_m1_ca1;mmu_lv_f_ca1
20	14	6	ppa;ggo;ppy;mml	lv	GO:0007166	0,000201453345789	0,013435606213191	GO:0009897	0,000192369913202	0,004809859620661	GO:0019838	1,26E-05	0,001333126370642	4060	4,53E-05	0,003543009171991	21	0,011689028463466	0,61757822448676	ENSG00000100385;ENSG00000102967;ENSG00000021852;ENSG00000168685;ENSG00000147689;ENSG00000155307;ENSG00000171557;ENSG00000115607;ENSG00000115590;ENSG00000182885;ENSG00000019991;ENSG00000159261;ENSG00000146678;ENSG00000134363	ppa_lv_f_ca1;ggo_lv_m_ca1;ggo_lv_f_ca1;ppy_lv_m_ca1;ppy_lv_f_ca1;mml_lv_f_ca1
21	20	5	mdo;oan	ts	GO:0045132	4,17E-05	0,003915512072711	GO:0005903	0,001667841331368	0,027306967189132	GO:0003690	0,002930776035425	0,075480954853998	52	0,021556104885269	0,249591173598667	X	0,013471693484742	0,655581986787794	ENSG00000137074;ENSG00000115850;ENSG00000129810;ENSG00000181544;ENSG00000178177;ENSG00000197275;ENSG00000143033;ENSG00000178795;ENSG00000164663;ENSG00000183862;ENSG00000138039;ENSG00000136931;ENSG00000087916;ENSG00000176635;ENSG00000198912;ENSG00000185480;ENSG00000122882;ENSG00000094975;ENSG00000146857;ENSG00000215203	mdo_ts_m2_ca1;mdo_ts_m1_ca1;oan_ts_m3_ca1;oan_ts_m1_ca1;oan_ts_m2_ca1
